Kategoria,Tytuł (Ćwiczenie),Opis,Źródło (Autor Rok),Link,Klatka (Góra) [%],Klatka (Środek/Dół) [%],Najszerszy Grzbietu [%],Czworoboczny Środek [%],Przód Barku [%],Bok Barku [%],Tył Barku [%],Prostownik Lędźwiowy [%],Prosty Brzucha [%],Czworogłowy Uda [%],Dwugłowy Uda [%],Pośladkowy Wielki [%],Triceps [%],Biceps [%],Multifidus (wielodzielne) [%],Pośladkowy Średni [%],Przywodziciele uda [%],Łydka [%],Skośny zewnętrzny brzucha [%],Skośny wewnętrzny brzucha [%]
A. Ćwiczenia Główne,Low Bar Przysiad (Squat),W wersji Low Bar (sztanga na mięśniach czworobocznych dolnych).,Park 2022,https://doi.org/10.3390/ijerph192013480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.8,11.9,35.9,26.2,0,0
A. Ćwiczenia Główne,Back squat,"Nie jest okreslona wersja, czy low, czy high (80% 1RM) (uśrednienie na czworobocznym uda)",Hasan U. Yavuz 2017,https://pmc.ncbi.nlm.nih.gov/articles/PMC5435978/,0,0,0,0,0,0,0,40.8,0,48.9,23.5,27.8,0,0,0,0,0,0,0,0
A. Ćwiczenia Główne,Back squat,"Nie jest okreslona wersja, czy low, czy high (90% 1RM)",Hasan U. Yavuz 2017,https://pmc.ncbi.nlm.nih.gov/articles/PMC5435978/,0,0,0,0,0,0,0,51.5,0,60.1,27.7,34.1,0,0,0,0,0,0,0,0
A. Ćwiczenia Główne,Back squat,"Nie jest okreslona wersja, czy low, czy high (100% 1RM)",Hasan U. Yavuz 2017,https://pmc.ncbi.nlm.nih.gov/articles/PMC5435978/,0,0,0,0,0,0,0,53.8,0,64.5,30.4,38.7,0,0,0,0,0,0,0,0
A. Ćwiczenia Główne,Wyciskanie Leżąc (Bench Press),"Z mostkiem, szerokim chwytem i pauzą na klatce. Triceps uzupełniony z Soncin 2014.",Coratella 2019 / Soncin 2014,https://pmc.ncbi.nlm.nih.gov/articles/PMC4327372/,83.7,80.5,0,0,21.4,5.0,3.5,0,0,0,0,0,68.78,0,0,0,0,0,0,0
A. Ćwiczenia Główne,Martwy Ciąg (Deadlift),Twoja technika startowa (Konwencjonalna lub Sumo).,Martin-Fuentes 2020,https://doi.org/10.1371/journal.pone.0229507,0,0,0,0,0,0,0,92.0,0,45.0,75.0,88.0,0,0,0,0,0,0,0,0
B. Wariacje (Przysiad),High Bar Squat,Przysiad ze sztangą wysoko (większe zaangażowanie czworogłowych).,Yavuz 2015,https://doi.org/10.14198/jhse.2020.15.Proc4.28,0,0,0,0,0,0,0,0,0,48.8,0,37.1,0,0,0,0,0,0,0,0
B. Wariacje (Wyciskanie),Close Grip Bench Press,"Wyciskanie wąskim chwytem. Klatka góra ustawiona jako estymacja do orderingu (nie bezpośredni odczyt z tej samej tabeli): Lehman 2005 sugeruje, że wąski chwyt obniża głównie część mostkowo-żebrową, ale nie zeruje części obojczykowej.",Soncin 2014 + Lehman 2005,https://journals.lww.com/nsca-jscr/_layouts/15/oaks.journals/downloadpdf.aspx?an=00124278-200508000-00017,72.0,98.72,0,0,73.69,0,0,0,0,0,0,0,78.62,0,0,0,0,0,0,0
B. Wariacje (Wyciskanie),Spoto Press,"Wyciskanie z zatrzymaniem sztangi 2-3 cm nad klatką (proxy: UROM bench press mean EMG).",Josef Fischer 2025 (UROM mean, Table 2),https://pmc.ncbi.nlm.nih.gov/articles/PMC12019332/,58.2,58.0,0,0,40.93,0,0,0,0,0,0,0,56.4,0,0,0,0,0,0,0
B. Wariacje (Wyciskanie),Incline Bench Press,Wyciskanie sztangi na ławce skośnej dodatniej. Dodano bark przedni i triceps z benchu skośnego.,Rodríguez-Ridao 2020 / Lauver 2015,https://pubmed.ncbi.nlm.nih.gov/33049982/,94.3,61.1,0,0,90.9,0,0,0,0,0,0,0,114.3,0,0,0,0,0,0,0
B. Wariacje (Wyciskanie),Rozpiętki (Dumbbell Flyes),Świetne ćwiczenie izolacyjne (maksymalne rozciągnięcie klatki i budowanie hipertrofii).,Sousa 2022 / Campos 2020,https://doi.org/10.3390/app13085203,42.3,42.3,0,0,18.8,3.4,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0
B. Wariacje (Martwy Ciąg),Sumo Deadlift,"Martwy ciąg w szerokim rozkroku (skraca zakres ruchu, odciąża dół pleców).",Escamilla 2002,https://www.scribd.com/document/741941661/An-Electromyographic-Analysis-of-Sumo-and-19,0,0,0,0,0,0,0,32,58,48,29,37,0,0,0,0,23,34,0,0
C. Akcesoria (Dół ciała),Bulgarian Split Squat,Najlepsze ćwiczenie na stabilizację i siłę nóg. Dane Mean EMG (Andersen 2014).,Andersen 2014,https://doi.org/10.1055/s-0034-1382016,0,0,0,0,0,0,0,51.1,0,81.7,15.9,62.7,0,0,0,0,0,0,0,0
C. Akcesoria (Dół ciała),Leg Press,Bezpieczne budowanie objętości czworogłowych. Dane Mean EMG dla 80% 1RM (Da Silva 2008).,Da Silva 2008,https://journals.lww.com/nsca-jscr/fulltext/2008/07000/analysis_of_muscle_activation_during_different_leg.5.aspx,0,0,0,0,0,0,0,0,0,58.0,18.0,28.0,0,0,0,0,0,0,0,0
C. Akcesoria (Dół ciała),Romanian Deadlift (RDL),Fundament siły tylnej taśmy (pośladki i dwugłowe uda).,Schoenfeld 2015 (SLDL),https://pubmed.ncbi.nlm.nih.gov/24978835/,0,0,0,0,0,0,0,0,0,0,82.5,0,0,0,0,0,0,0,0,0
